"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N"
"0500000US13141","Hancock County, Georgia","8735","8535","2421","6028","25","37","1","23","200","180","73","49","13","2","25","8","0","0","7","0","0","1","0","1","1","20","9","2","0","2","0","0","2","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13143","Haralson County, Georgia","29919","28749","27011","1253","64","187","11","223","1170","1112","217","559","57","6","233","9","13","1","12","2","2","0","1","0","0","48","19","2","1","1","4","3","10","0","2","0","0","0","3","3","0","0","0","0","0","0","7","1","3","0","0","0","0","0","3","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0"
"0500000US13145","Harris County, Georgia","34668","32607","26353","5237","122","397","21","477","2061","1934","351","585","257","18","614","25","14","2","47","0","0","7","8","3","3","108","34","5","0","2","20","0","20","3","18","0","2","2","0","2","0","0","0","0","0","0","14","0","0","5","1","4","0","0","0","0","0","0","4","0","0","0","5","5","0","0","0","0","0","0","0"
"0500000US13147","Hart County, Georgia","25828","24648","19447","4334","63","335","2","467","1180","1117","312","318","60","13","373","21","3","4","7","5","0","0","0","0","1","52","25","9","0","0","3","0","4","4","0","0","5","0","0","2","0","0","0","0","0","0","9","3","0","4","1","0","0","0","0","0","1","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"0500000US13149","Heard County, Georgia","11412","10810","9672","942","33","53","6","104","602","561","144","273","18","4","96","6","1","0","15","0","0","3","0","1","0","38","11","4","0","6","0","0","2","0","3","2","0","0","0","1","9","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13151","Henry County, Georgia","240712","225110","89241","118124","832","8064","132","8717","15602","14407","3224","1991","954","63","5014","801","437","82","1561","9","3","149","18","89","12","1073","429","116","12","237","34","5","118","17","19","0","12","7","27","23","4","5","0","3","0","5","108","21","3","71","0","0","1","7","4","1","0","0","0","0","0","0","11","1","10","0","0","0","0","3","3"
"0500000US13153","Houston County, Georgia","163633","151769","88519","52610","574","4975","153","4938","11864","11004","2313","2014","1380","76","4039","292","292","21","377","18","0","68","49","51","14","768","249","105","0","132","54","1","76","57","33","3","17","3","10","0","17","0","4","0","0","7","91","20","4","43","8","0","0","3","6","0","1","6","0","0","0","0","1","0","0","0","1","0","0","0","0"
"0500000US13155","Irwin County, Georgia","9666","9358","6487","2229","24","119","1","498","308","275","53","98","16","8","77","8","2","1","8","2","0","0","2","0","0","21","3","4","0","9","0","0","0","0","0","1","0","0","3","1","0","0","0","0","0","0","12","0","0","9","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13157","Jackson County, Georgia","75907","70893","60464","5232","245","1780","44","3128","5014","4832","682","1282","368","21","2283","49","25","2","67","1","0","28","17","7","0","158","36","9","0","19","6","0","61","4","10","4","4","0","4","1","0","0","0","0","0","0","21","0","0","8","0","4","0","0","6","0","0","0","2","0","1","0","3","1","2","0","0","0","0","0","0"
"0500000US13159","Jasper County, Georgia","14588","13819","10913","2464","42","24","9","367","769","733","161","298","22","0","212","13","2","3","7","4","2","1","0","8","0","26","0","3","9","0","1","0","4","0","0","0","3","0","1","4","0","0","0","0","0","1","10","0","0","3","3","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13161","Jeff Davis County, Georgia","14779","14058","10354","2307","82","54","7","1254","721","683","142","140","7","3","361","4","5","3","8","1","0","2","1","4","2","31","5","0","0","8","2","0","9","0","0","2","0","0","1","4","0","0","0","0","0","0","7","5","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13163","Jefferson County, Georgia","15709","15299","6941","7976","44","70","0","268","410","359","163","54","4","11","95","19","6","0","2","0","0","2","3","0","0","45","19","6","0","0","7","0","2","0","0","0","3","0","0","4","3","1","0","0","0","0","6","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13165","Jenkins County, Georgia","8674","8462","4679","3545","35","12","5","186","212","190","66","53","7","1","37","2","0","0","6","0","0","10","0","7","1","15","1","4","1","4","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","6","0","0","4","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0500000US13167","Johnson County, Georgia","9189","8967","5822","3032","23","28","15","47","222","208","73","78","9","0","34","5","0","0","2","0","1","1","0","5","0","12","10","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13169","Jones County, Georgia","28347","27363","20206","6767","49","141","7","193","984","925","238","329","49","1","234","49","8","2","15","0","0","0","0","0","0","51","13","1","3","6","2","0","14","5","0","1","0","0","3","1","0","0","0","2","0","0","8","6","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13171","Lamar County, Georgia","18500","17726","12475","4914","21","103","4","209","774","722","211","220","55","3","178","39","11","0","4","0","0","0","1","0","0","45","23","4","0","0","3","0","5","2","1","0","0","0","5","0","2","0","0","0","0","0","7","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13173","Lanier County, Georgia","9877","9300","6794","2173","40","81","20","192","577","544","131","128","23","6","212","16","2","10","10","1","3","2","0","0","0","29","13","3","2","5","3","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"0500000US13175","Laurens County, Georgia","49570","47904","28160","18332","102","513","14","783","1666","1587","583","405","72","11","346","73","23","0","57","0","0","6","5","5","1","58","32","7","2","2","6","0","6","0","0","0","0","0","2","0","0","0","1","0","0","0","14","6","0","0","0","0","0","0","2","0","0","0","6","0","0","0","7","1","6","0","0","0","0","0","0"
"0500000US13177","Lee County, Georgia","33163","31675","22985","7375","78","854","13","370","1488","1386","259","417","162","5","442","13","19","7","15","9","0","19","5","11","3","76","18","7","3","8","8","7","6","3","6","0","0","0","2","5","3","0","0","0","0","0","22","6","0","8","0","0","1","0","5","0","0","0","0","0","2","0","4","4","0","0","0","0","0","0","0"
"0500000US13179","Liberty County, Georgia","65256","58897","25953","28095","320","1380","478","2671","6359","5723","1609","672","491","63","1863","225","138","89","461","4","1","27","41","17","22","551","186","82","16","118","31","5","28","24","17","0","10","0","26","3","0","3","0","0","0","2","82","11","0","59","0","6","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","3","3"
"0500000US13181","Lincoln County, Georgia","7690","7426","5239","2124","18","20","3","22","264","209","30","101","2","3","42","12","0","7","3","0","0","0","3","0","6","48","13","0","4","5","7","0","6","6","0","0","7","0","0","0","0","0","0","0","0","0","7","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13183","Long County, Georgia","16168","14634","9197","4125","137","181","91","903","1534","1389","375","268","104","15","488","37","16","22","56","0","0","0","0","1","7","126","39","17","0","16","10","0","9","9","8","2","7","0","3","1","4","1","0","0","0","0","16","3","0","9","0","0","0","1","3","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0"
"0500000US13185","Lowndes County, Georgia","118251","111390","61186","44434","477","1952","117","3224","6861","6394","1390","1191","610","56","2452","222","105","32","247","4","0","38","17","20","10","418","120","50","12","69","10","3","59","36","18","10","8","0","1","16","3","0","2","0","0","1","34","16","5","6","0","0","3","0","0","0","0","4","0","0","0","0","13","3","10","0","0","0","0","2","2"
"0500000US13187","Lumpkin County, Georgia","33488","31335","29750","429","187","257","21","691","2153","2072","188","881","151","14","792","0","8","2","17","3","0","10","0","4","2","60","12","11","0","4","13","0","13","0","2","1","0","0","0","0","3","0","0","1","0","0","20","7","2","0","0","0","1","9","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
