County,Polling Place,First Check-In,Last Check-In, First Check-In,Last Check In,Active Registered Voters,Total Election Day Check-Ins,Total EV,Voters/Hour
BARTOW,TAYLORSVILLE CITY HALL,07:04:00,19:46:00,1899-12-30 07:04:00,1899-12-30 19:46:00,2735,388,481,30.55
BARTOW,WHITE UNITED METHODIST CHURCH,07:06:00,19:01:00,1899-12-30 07:06:00,1899-12-30 19:01:00,2612,549,448,46.07
BARTOW,ZENA DRIVE SENIOR CENTER,07:09:00,19:03:00,1899-12-30 07:09:00,1899-12-30 19:03:00,6274,217,961,18.24
BEN HILL,BEN HILL ELECTION CENTER,07:05:00,19:15:00,1899-12-30 07:05:00,1899-12-30 19:15:00,10175,805,2366,66.16
BERRIEN,AG CENTER,07:03:00,19:08:00,1899-12-30 07:03:00,1899-12-30 19:08:00,6110,714,1497,59.09
BERRIEN,CITY HALL ALAPAHA,07:03:00,19:00:00,1899-12-30 07:03:00,1899-12-30 19:00:00,1117,226,221,18.91
BERRIEN,CITY HALL ENIGMA,07:12:00,18:53:00,1899-12-30 07:12:00,1899-12-30 18:53:00,1114,204,154,17.46
BERRIEN,CITY HALL RAY CITY,07:05:00,18:53:00,1899-12-30 07:05:00,1899-12-30 18:53:00,1946,201,327,17.03
BERRIEN,FIRE DEPARTMENT,07:17:00,19:11:00,1899-12-30 07:17:00,1899-12-30 19:11:00,987,216,215,18.15
BIBB,BEULAH BAPTIST CHURCH,07:01:00,19:01:00,1899-12-30 07:01:00,1899-12-30 19:01:00,2207,203,268,16.92
BIBB,BEULAHLAND BIBLE CHURCH,07:03:00,19:00:00,1899-12-30 07:03:00,1899-12-30 19:00:00,3314,549,605,45.94
BIBB,BRUCE ELEMENTARY SCHOOL,07:47:00,18:57:00,1899-12-30 07:47:00,1899-12-30 18:57:00,2299,462,313,41.37
BIBB,COVENANT LIFE CATHEDRAL,07:05:00,19:02:00,1899-12-30 07:05:00,1899-12-30 19:02:00,3467,336,687,28.12
BIBB,DR. ROBERT J. WILLIAMS COMPLEX AT BALLARD HUDSON,07:13:00,19:00:00,1899-12-30 07:13:00,1899-12-30 19:00:00,6541,407,1237,34.54
BIBB,FIRST CHRISTIAN CHURCH,07:03:00,18:59:00,1899-12-30 07:03:00,1899-12-30 18:59:00,2133,576,510,48.27
BIBB,FOREST HILL UNITED METHODIST CHURCH,07:05:00,18:59:00,1899-12-30 07:05:00,1899-12-30 18:59:00,2285,224,388,18.82
BIBB,GLORIOUS HOPE BAPTIST CHURCH,07:06:00,18:58:00,1899-12-30 07:06:00,1899-12-30 18:58:00,3129,359,660,30.25
BIBB,GREATER BELLEVUE BAPTIST CHURCH,07:04:00,19:10:00,1899-12-30 07:04:00,1899-12-30 19:10:00,4181,190,871,15.7
BIBB,HARVEST CATHEDRAL - BLDG #1,07:03:00,19:05:00,1899-12-30 07:03:00,1899-12-30 19:05:00,4800,617,885,51.27
BIBB,HOWARD COMMUNITY CLUB,07:05:00,18:59:00,1899-12-30 07:05:00,1899-12-30 18:59:00,3312,421,928,35.38
BIBB,LAKE WILDWOOD CLUBHOUSE,07:18:00,19:06:00,1899-12-30 07:18:00,1899-12-30 19:06:00,4107,773,795,65.51
