,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density: Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others
48,"02, Barrow County, Georgia",7000000US13013000002,5083.0,445.0,3793.0,344.0,282.0,195.0,24.0,0.08754672437536888,0.74621286641747,0.06767656895534134,0.05547904780641354,0.03836317135549872,0.004721621089907535
49,"03, Barrow County, Georgia",7000000US13013000003,4948.0,610.0,3501.0,307.0,258.0,251.0,21.0,0.1232821341956346,0.7075586095392078,0.06204527081649151,0.052142279708973324,0.05072756669361358,0.004244139046079224
50,"04, Barrow County, Georgia",7000000US13013000004,3777.0,498.0,2715.0,242.0,164.0,132.0,26.0,0.1318506751389992,0.7188244638602065,0.06407201482658194,0.04342070426264231,0.03494837172359015,0.006883770187979878
51,"05, Barrow County, Georgia",7000000US13013000005,7515.0,784.0,5156.0,960.0,311.0,254.0,50.0,0.10432468396540252,0.6860944777112442,0.1277445109780439,0.041383898868928806,0.03379906852960745,0.00665335994677312
52,"06, Barrow County, Georgia",7000000US13013000006,3656.0,334.0,2430.0,493.0,175.0,179.0,45.0,0.09135667396061269,0.6646608315098468,0.1348468271334792,0.04786652078774617,0.048960612691466086,0.012308533916849015
53,"07, Barrow County, Georgia",7000000US13013000007,4524.0,413.0,3084.0,700.0,114.0,196.0,17.0,0.09129089301503095,0.6816976127320955,0.15473032714412024,0.025198938992042442,0.04332449160035367,0.003757736516357206
54,"08, Barrow County, Georgia",7000000US13013000008,4772.0,438.0,3626.0,289.0,197.0,190.0,32.0,0.09178541492036882,0.7598491198658843,0.06056160938809724,0.041282481139983236,0.039815590947191955,0.006705783738474434
55,"09, Barrow County, Georgia",7000000US13013000009,5165.0,698.0,3620.0,494.0,139.0,194.0,20.0,0.13514036786060019,0.7008712487899322,0.09564375605033881,0.02691190706679574,0.03756050338818974,0.003872216844143272
56,"10, Barrow County, Georgia",7000000US13013000010,5978.0,951.0,2796.0,1720.0,172.0,268.0,71.0,0.15908330545332888,0.4677149548343928,0.28772164603546335,0.028772164603546337,0.04483104717296755,0.011876881900301103
57,"11, Barrow County, Georgia",7000000US13013000011,7348.0,1377.0,4001.0,1310.0,256.0,332.0,72.0,0.18739793140990746,0.5445019052803484,0.178279804028307,0.03483941208492107,0.045182362547632006,0.00979858464888405
58,"12, Barrow County, Georgia",7000000US13013000012,4206.0,568.0,3067.0,226.0,108.0,198.0,39.0,0.1350451735615787,0.7291963861150738,0.053732762719923916,0.025677603423680456,0.047075606276747506,0.009272467902995721
