,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others
176,"LEARY, Calhoun County, Georgia",7000000US13037000001,711,11,255,433,1,6,5
177,"MORGAN, Calhoun County, Georgia",7000000US13037000002,2182,64,795,1290,11,20,2
178,"EDISON, Calhoun County, Georgia",7000000US13037000003,1078,48,228,787,3,12,0
179,"EDISON-ARLINGTON, Calhoun County, Georgia",7000000US13037000004,811,9,332,453,3,14,0
180,"ARLINGTON, Calhoun County, Georgia",7000000US13037000005,791,17,156,606,1,9,2
181,"TARBORO, Camden County, Georgia",7000000US13039000001,1354,23,1069,192,2,60,8
182,"WAVERLY, Camden County, Georgia",7000000US13039000002,1880,34,1457,312,3,69,5
183,"WOODBINE, Camden County, Georgia",7000000US13039000003,2587,59,1589,765,10,130,34
184,"BROWNTOWN, Camden County, Georgia",7000000US13039000004,1181,76,913,86,8,78,20
185,"HARRIETTS BLUFF, Camden County, Georgia",7000000US13039000005,2673,110,2192,174,19,156,22
186,"WEST KINGSLAND, Camden County, Georgia",7000000US13039000006,4032,235,2851,610,50,248,38
187,"NORTH KINGSLAND, Camden County, Georgia",7000000US13039000007,3806,205,2054,1258,34,204,51
188,"KINGSLAND, Camden County, Georgia",7000000US13039000008,3306,232,2033,751,37,201,52
189,"GROSS ROAD, Camden County, Georgia",7000000US13039000009,10472,753,6746,1894,330,625,124
190,"NORTH SAINT MARY, Camden County, Georgia",7000000US13039000010,6360,775,3811,1317,105,301,51
191,"MARY LEE CLARK, Camden County, Georgia",7000000US13039000011,5806,534,3743,1045,103,326,55
192,"SOUTH SAINT MARY, Camden County, Georgia",7000000US13039000012,2918,141,2279,316,11,146,25
193,"MUSH BLUFF, Camden County, Georgia",7000000US13039000013,4305,323,3077,537,65,252,51
194,"WEST SAINT MARY, Camden County, Georgia",7000000US13039000014,4088,158,3389,240,68,193,40
195,"METTER, Candler County, Georgia",7000000US13043001685,5599,452,3254,1744,17,108,24
196,"CANDLER, Candler County, Georgia",7000000US13043001736,5382,926,3313,937,46,136,24
197,"BETHANY, Carroll County, Georgia",7000000US13045000501,6586,841,3904,1527,13,257,44
198,"V R COUNTY SOUTH, Carroll County, Georgia",7000000US13045000640,4020,268,3074,400,37,215,26
199,"V R COUNTY NORTH, Carroll County, Georgia",7000000US13045000641,7613,426,5537,1172,45,388,45
200,"VILLA RICA CITY, Carroll County, Georgia",7000000US13045000642,9624,742,4717,3437,177,459,92
201,"TEMPLE COUNTY, Carroll County, Georgia",7000000US13045000649,6140,234,5005,559,26,275,41
202,"TEMPLE CITY, Carroll County, Georgia",7000000US13045000650,5026,310,3350,1024,63,246,33
203,"WHITESBURG, Carroll County, Georgia",7000000US13045000682,2854,62,2523,114,5,131,19
204,"ROOPVILLE, Carroll County, Georgia",7000000US13045000713,4186,103,3705,191,24,154,9
205,"OAK GROVE, Carroll County, Georgia",7000000US13045000715,2410,239,1794,270,11,85,11
206,"KANSAS, Carroll County, Georgia",7000000US13045001006,1538,25,1426,15,11,52,9
207,"BOWDON, Carroll County, Georgia",7000000US13045001111,4539,122,3445,718,12,202,40
208,"SANDHILL, Carroll County, Georgia",7000000US13045001122,6319,431,4480,974,30,338,66
209,"CENTER POINT, Carroll County, Georgia",7000000US13045001152,2383,104,2082,51,10,124,12
210,"MT ZION, Carroll County, Georgia",7000000US13045001240,3715,188,3123,201,38,143,22
211,"BURWELL, Carroll County, Georgia",7000000US13045001371,2044,85,1720,124,11,99,5
212,"CLEM, Carroll County, Georgia",7000000US13045001483,4772,258,3867,409,29,187,22
213,"BOWDON JUNCTION, Carroll County, Georgia",7000000US13045001496,2000,98,1444,314,15,119,10
214,"TYUS, Carroll County, Georgia",7000000US13045001533,2452,67,2068,172,12,117,16
215,"FAIRFIELD, Carroll County, Georgia",7000000US13045001540,4339,220,3403,451,40,183,42
216,"HULETT, Carroll County, Georgia",7000000US13045001542,3189,168,2562,278,13,145,23
217,"WEST CARROLLTON, Carroll County, Georgia",7000000US130450714A1,8617,2102,3199,2909,71,266,70
218,"EAST CARROLLTON REC, Carroll County, Georgia",7000000US130450714A2,2495,218,1408,665,50,136,18
219,"BONNER, Carroll County, Georgia",7000000US130450714A3,5964,713,3107,1751,149,212,32
220,"UNIVERSITY OF W. GA, Carroll County, Georgia",7000000US130450714A4,5265,587,2292,2178,57,130,21
