,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density: Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others,Polling Site
43,"0110011 - POPLAR SPRINGS Voting District, Banks County, Georgia",7000000US13011000011,2430.0,128.0,2123.0,61.0,23.0,85.0,10.0,0.0526748971193415,0.8736625514403292,0.0251028806584362,0.0094650205761316,0.0349794238683127,0.0041152263374485,1
44,"0110012 - WASHINGTON Voting District, Banks County, Georgia",7000000US13011000012,1016.0,42.0,892.0,20.0,17.0,37.0,8.0,0.0413385826771653,0.8779527559055118,0.0196850393700787,0.0167322834645669,0.0364173228346456,0.0078740157480314,1
45,"0110013 - WILMONTS Voting District, Banks County, Georgia",7000000US13011000013,808.0,28.0,740.0,9.0,7.0,17.0,7.0,0.0346534653465346,0.915841584158416,0.0111386138613861,0.0086633663366336,0.021039603960396,0.0086633663366336,1
46,"01, Barrow County, Georgia",7000000US13013000001,5196.0,785.0,3593.0,414.0,183.0,177.0,44.0,0.151077752117013,0.6914934565050038,0.079676674364896,0.0352193995381062,0.0340646651270207,0.0084680523479599,1
47,"02, Barrow County, Georgia",7000000US13013000002,5083.0,445.0,3793.0,344.0,282.0,195.0,24.0,0.0875467243753688,0.74621286641747,0.0676765689553413,0.0554790478064135,0.0383631713554987,0.0047216210899075,1
48,"03, Barrow County, Georgia",7000000US13013000003,4948.0,610.0,3501.0,307.0,258.0,251.0,21.0,0.1232821341956346,0.7075586095392078,0.0620452708164915,0.0521422797089733,0.0507275666936135,0.0042441390460792,1
49,"04, Barrow County, Georgia",7000000US13013000004,3777.0,498.0,2715.0,242.0,164.0,132.0,26.0,0.1318506751389992,0.7188244638602065,0.0640720148265819,0.0434207042626423,0.0349483717235901,0.0068837701879798,1
50,"05, Barrow County, Georgia",7000000US13013000005,7515.0,784.0,5156.0,960.0,311.0,254.0,50.0,0.1043246839654025,0.6860944777112442,0.1277445109780439,0.0413838988689288,0.0337990685296074,0.0066533599467731,1
51,"06, Barrow County, Georgia",7000000US13013000006,3656.0,334.0,2430.0,493.0,175.0,179.0,45.0,0.0913566739606126,0.6646608315098468,0.1348468271334792,0.0478665207877461,0.048960612691466,0.012308533916849,0
52,"07, Barrow County, Georgia",7000000US13013000007,4524.0,413.0,3084.0,700.0,114.0,196.0,17.0,0.0912908930150309,0.6816976127320955,0.1547303271441202,0.0251989389920424,0.0433244916003536,0.0037577365163572,0
53,"08, Barrow County, Georgia",7000000US13013000008,4772.0,438.0,3626.0,289.0,197.0,190.0,32.0,0.0917854149203688,0.7598491198658843,0.0605616093880972,0.0412824811399832,0.0398155909471919,0.0067057837384744,1
54,"09, Barrow County, Georgia",7000000US13013000009,5165.0,698.0,3620.0,494.0,139.0,194.0,20.0,0.1351403678606001,0.7008712487899322,0.0956437560503388,0.0269119070667957,0.0375605033881897,0.0038722168441432,0
55,"10, Barrow County, Georgia",7000000US13013000010,5978.0,951.0,2796.0,1720.0,172.0,268.0,71.0,0.1590833054533288,0.4677149548343928,0.2877216460354633,0.0287721646035463,0.0448310471729675,0.0118768819003011,0
56,"11, Barrow County, Georgia",7000000US13013000011,7348.0,1377.0,4001.0,1310.0,256.0,332.0,72.0,0.1873979314099074,0.5445019052803484,0.178279804028307,0.034839412084921,0.045182362547632,0.009798584648884,0
57,"12, Barrow County, Georgia",7000000US13013000012,4206.0,568.0,3067.0,226.0,108.0,198.0,39.0,0.1350451735615787,0.7291963861150738,0.0537327627199239,0.0256776034236804,0.0470756062767475,0.0092724679029957,0
58,"13, Barrow County, Georgia",7000000US13013000013,4384.0,478.0,3047.0,511.0,113.0,203.0,32.0,0.1090328467153284,0.6950273722627737,0.1165602189781021,0.0257755474452554,0.0463047445255474,0.0072992700729927,1
59,"14, Barrow County, Georgia",7000000US13013000014,2258.0,299.0,1565.0,145.0,170.0,69.0,10.0,0.1324180690876882,0.6930912311780336,0.0642161204605845,0.0752878653675819,0.0305580159433126,0.0044286979627989,0
60,"15, Barrow County, Georgia",7000000US13013000015,4927.0,485.0,3796.0,206.0,249.0,169.0,22.0,0.0984371828699005,0.7704485488126649,0.0418104323117515,0.0505378526486705,0.0343007915567282,0.0044651918002841,0
61,"16, Barrow County, Georgia",7000000US13013000016,9768.0,1397.0,5792.0,1780.0,342.0,376.0,81.0,0.143018018018018,0.592956592956593,0.1822276822276822,0.035012285012285,0.0384930384930384,0.0082923832923832,1
62,"ADAIRSVILLE, Bartow County, Georgia",7000000US13015000001,10368.0,565.0,8380.0,765.0,116.0,458.0,84.0,0.0544945987654321,0.8082561728395061,0.0737847222222222,0.0111882716049382,0.0441743827160493,0.0081018518518518,1
63,"ALLATOONA, Bartow County, Georgia",7000000US13015000002,6677.0,1120.0,4861.0,309.0,59.0,271.0,57.0,0.1677400029953571,0.7280215665718137,0.0462782686835405,0.0088363037292197,0.0405870900104837,0.0085367680095851,1
64,"CARTERSVILLE EAST, Bartow County, Georgia",7000000US13015000003,11581.0,1710.0,7007.0,2087.0,202.0,485.0,90.0,0.1476556428633106,0.6050427424229341,0.1802089629565668,0.0174423624902858,0.0418789396425179,0.0077713496243847,1
65,"CARTERSVILLE WEST, Bartow County, Georgia",7000000US13015000004,11544.0,1354.0,7536.0,2052.0,143.0,403.0,56.0,0.1172903672903672,0.6528066528066528,0.1777546777546777,0.0123873873873873,0.0349099099099099,0.0048510048510048,1
66,"CASSVILLE, Bartow County, Georgia",7000000US13015000005,16605.0,2090.0,11916.0,1535.0,228.0,725.0,111.0,0.1258657031014754,0.7176151761517615,0.0924420355314664,0.0137308039747064,0.0436615477265883,0.0066847335140018,1
67,"CENTER, Bartow County, Georgia",7000000US13015000006,5177.0,268.0,4240.0,334.0,64.0,227.0,44.0,0.0517674328761831,0.8190071469963299,0.064516129032258,0.0123623720301332,0.0438477882943789,0.0084991307707166,1
68,"EMERSON, Bartow County, Georgia",7000000US13015000007,4453.0,408.0,3569.0,158.0,26.0,240.0,52.0,0.0916236245227936,0.8014821468672805,0.0354816977318661,0.0058387603862564,0.0538962497192903,0.0116775207725129,1
69,"EUHARLEE, Bartow County, Georgia",7000000US13015000008,7437.0,466.0,5871.0,626.0,24.0,409.0,41.0,0.0626596745999731,0.7894312222670432,0.0841737259647707,0.0032271077047196,0.0549952938012639,0.0055129756622293,1
70,"FOLSOM, Bartow County, Georgia",7000000US13015000009,2095.0,123.0,1863.0,24.0,2.0,75.0,8.0,0.0587112171837708,0.8892601431980907,0.0114558472553699,0.0009546539379474,0.035799522673031,0.0038186157517899,1
71,"KINGSTON, Bartow County, Georgia",7000000US13015000010,3991.0,184.0,3333.0,238.0,9.0,206.0,21.0,0.0461037334001503,0.8351290403407667,0.0596341768980205,0.0022550739163117,0.05161613630669,0.0052618391380606,1
72,"MISSION ROAD, Bartow County, Georgia",7000000US13015000011,5760.0,519.0,4212.0,680.0,33.0,246.0,70.0,0.0901041666666666,0.73125,0.1180555555555555,0.0057291666666666,0.0427083333333333,0.0121527777777777,1
73,"PINE LOG, Bartow County, Georgia",7000000US13015000012,2935.0,122.0,2632.0,26.0,5.0,134.0,16.0,0.0415672913117546,0.8967632027257241,0.0088586030664395,0.0017035775127768,0.045655877342419,0.0054514480408858,1
74,"TAYLORSVILLE, Bartow County, Georgia",7000000US13015000014,3969.0,205.0,3508.0,60.0,16.0,168.0,12.0,0.0516502897455278,0.8838498362307886,0.0151171579743008,0.0040312421264802,0.0423280423280423,0.0030234315948601,1
75,"WHITE, Bartow County, Georgia",7000000US13015000015,3546.0,143.0,3140.0,80.0,11.0,157.0,15.0,0.0403271291596164,0.8855047941342358,0.0225606316976875,0.003102086858432,0.0442752397067117,0.0042301184433164,1
76,"ZENA DRIVE, Bartow County, Georgia",7000000US13015000016,10158.0,1248.0,6028.0,2152.0,221.0,432.0,77.0,0.1228588304784406,0.5934239023429809,0.211852726914747,0.0217562512305571,0.0425280567040756,0.0075802323291986,1
77,"WOODLAND HIGH, Bartow County, Georgia",7000000US13015000018,2605.0,226.0,2063.0,183.0,10.0,117.0,6.0,0.0867562380038387,0.7919385796545105,0.0702495201535508,0.0038387715930902,0.0449136276391554,0.0023032629558541,1
78,"EAST, Ben Hill County, Georgia",7000000US13017000001,6850.0,526.0,3065.0,2986.0,24.0,196.0,53.0,0.0767883211678832,0.4474452554744526,0.435912408759124,0.0035036496350364,0.0286131386861313,0.0077372262773722,1
79,"WEST, Ben Hill County, Georgia",7000000US13017000002,10344.0,528.0,6154.0,3236.0,92.0,282.0,52.0,0.0510440835266821,0.5949342614075793,0.3128383604021655,0.0088940448569218,0.0272621809744779,0.0050270688321732,1
80,"019518 - ALAPAHA Voting District, Berrien County, Georgia",7000000US13019000518,1599.0,25.0,1199.0,298.0,0.0,66.0,11.0,0.0156347717323327,0.7498436522826767,0.1863664790494058,0.0,0.0412757973733583,0.0068792995622263,1
81,"0191144 - RAY CITY Voting District, Berrien County, Georgia",7000000US13019001144,2099.0,171.0,1527.0,272.0,18.0,98.0,13.0,0.081467365412101,0.7274892806098142,0.1295855169128156,0.0085755121486422,0.0466888994759409,0.006193425440686,1
82,"0191148 - UPPER TENTH Voting District, Berrien County, Georgia",7000000US13019001148,379.0,15.0,327.0,22.0,0.0,14.0,1.0,0.0395778364116095,0.862796833773087,0.0580474934036939,0.0,0.0369393139841688,0.0026385224274406,0
83,"0191157 - NASHVILLE Voting District, Berrien County, Georgia",7000000US13019001157,8673.0,315.0,6904.0,1114.0,36.0,266.0,38.0,0.036319612590799,0.7960336677043699,0.1284445981782543,0.0041508128675198,0.0306698950766747,0.0043814135823821,1
84,"0191329 - LOIS Voting District, Berrien County, Georgia",7000000US13019001329,985.0,67.0,850.0,23.0,3.0,39.0,3.0,0.0680203045685279,0.8629441624365483,0.0233502538071065,0.0030456852791878,0.0395939086294416,0.0030456852791878,0
85,"0191427 - NEW RIVER Voting District, Berrien County, Georgia",7000000US13019001427,782.0,56.0,666.0,21.0,7.0,23.0,9.0,0.0716112531969309,0.8516624040920716,0.0268542199488491,0.0089514066496163,0.0294117647058823,0.0115089514066496,0
86,"0191642 - ENIGMA Voting District, Berrien County, Georgia",7000000US13019001642,1984.0,294.0,1450.0,153.0,9.0,61.0,17.0,0.1481854838709677,0.7308467741935484,0.0771169354838709,0.0045362903225806,0.0307459677419354,0.0085685483870967,1
87,"0191767 - LOWER TENTH Voting District, Berrien County, Georgia",7000000US13019001767,847.0,49.0,748.0,23.0,6.0,20.0,1.0,0.0578512396694214,0.8831168831168831,0.0271546635182998,0.0070838252656434,0.0236127508854781,0.0011806375442739,0
88,"0191819 - JORDAN Voting District, Berrien County, Georgia",7000000US13019001819,812.0,53.0,725.0,8.0,1.0,24.0,1.0,0.0652709359605911,0.8928571428571429,0.0098522167487684,0.001231527093596,0.0295566502463054,0.001231527093596,0
89,"EAST MACON 1, Bibb County, Georgia",7000000US13021000EM1,2963.0,45.0,191.0,2602.0,7.0,99.0,19.0,0.015187310158623,0.0644616942288221,0.8781640229497131,0.0023624704691191,0.0334120823489706,0.0064124198447519,1
90,"EAST MACON 2, Bibb County, Georgia",7000000US13021000EM2,5453.0,83.0,400.0,4796.0,19.0,139.0,16.0,0.0152209792774619,0.0733541169998166,0.8795158628278013,0.0034843205574912,0.0254905556574362,0.0029341646799926,1
91,"EAST MACON 3, Bibb County, Georgia",7000000US13021000EM3,4879.0,167.0,1522.0,2970.0,27.0,135.0,58.0,0.034228325476532,0.3119491699118671,0.6087312973970076,0.0055339208854273,0.0276696044271367,0.0118876819020291,1
92,"EAST MACON 4, Bibb County, Georgia",7000000US13021000EM4,3504.0,82.0,357.0,2957.0,6.0,87.0,15.0,0.0234018264840182,0.1018835616438356,0.843892694063927,0.0017123287671232,0.0248287671232876,0.0042808219178082,1
93,"EAST MACON 5, Bibb County, Georgia",7000000US13021000EM5,3443.0,69.0,991.0,2210.0,20.0,138.0,15.0,0.0200406622131861,0.2878303804821376,0.6418820795817601,0.0058088875980249,0.0400813244263723,0.0043566656985187,1
94,"GODFREY 1, Bibb County, Georgia",7000000US13021000GF1,10934.0,539.0,1865.0,8122.0,114.0,240.0,54.0,0.0492957746478873,0.1705688677519663,0.7428205597219681,0.010426193524785,0.0219498811048106,0.0049387232485824,1
95,"GODFREY 2, Bibb County, Georgia",7000000US13021000GF2,3197.0,166.0,439.0,2464.0,4.0,93.0,31.0,0.0519236784485455,0.1373162339693462,0.7707225523928684,0.0012511729746637,0.0290897716609321,0.009696590553644,1
96,"GODFREY 3, Bibb County, Georgia",7000000US13021000GF3,4615.0,144.0,500.0,3802.0,15.0,126.0,28.0,0.0312026002166847,0.1083423618634886,0.8238353196099675,0.0032502708559046,0.0273022751895991,0.0060671722643553,1
97,"GODFREY 4, Bibb County, Georgia",7000000US13021000GF4,3658.0,212.0,573.0,2736.0,11.0,105.0,21.0,0.0579551667577911,0.1566429743028977,0.747949699289229,0.0030071077091306,0.0287042099507927,0.0057408419901585,1
98,"GODFREY 5, Bibb County, Georgia",7000000US13021000GF5,7233.0,396.0,667.0,5910.0,33.0,176.0,51.0,0.0547490667772708,0.0922162311627264,0.8170883450850269,0.0045624222314392,0.0243329185676759,0.0070510161758606,1
99,"HAZZARD 1, Bibb County, Georgia",7000000US13021000HA1,5303.0,538.0,581.0,4009.0,46.0,103.0,26.0,0.1014520082971902,0.1095606260607203,0.7559871770695833,0.0086743352819158,0.0194229681312464,0.0049028851593437,1
100,"HAZZARD 2, Bibb County, Georgia",7000000US13021000HA2,6216.0,229.0,2685.0,2902.0,161.0,192.0,47.0,0.0368404118404118,0.4319498069498069,0.4668597168597168,0.0259009009009009,0.0308880308880308,0.0075611325611325,1
101,"HAZZARD 3, Bibb County, Georgia",7000000US13021000HA3,10268.0,279.0,2562.0,6991.0,130.0,236.0,70.0,0.0271717958706661,0.2495130502532138,0.6808531359563693,0.0126606934164394,0.0229840280483054,0.0068172964550058,1
102,"HAZZARD 4, Bibb County, Georgia",7000000US13021000HA4,2776.0,78.0,1720.0,764.0,112.0,84.0,18.0,0.0280979827089337,0.6195965417867435,0.2752161383285302,0.0403458213256484,0.0302593659942363,0.0064841498559077,1
103,"HOWARD 1, Bibb County, Georgia",7000000US13021000HO1,5943.0,443.0,3033.0,1948.0,333.0,142.0,44.0,0.0745414773683325,0.5103483089348814,0.3277805821975433,0.0560323069156991,0.0238936564024903,0.0074036681810533,1
104,"HOWARD 2, Bibb County, Georgia",7000000US13021000HO2,5445.0,122.0,3639.0,1220.0,295.0,140.0,29.0,0.0224058769513314,0.6683195592286502,0.2240587695133149,0.0541781450872359,0.0257116620752984,0.0053259871441689,1
105,"HOWARD 3, Bibb County, Georgia",7000000US13021000HO3,12654.0,512.0,6877.0,3920.0,931.0,369.0,45.0,0.0404615141457246,0.5434645171487277,0.3097834676782045,0.0735735735735735,0.0291607396870554,0.003556187766714,1
106,"HOWARD 4, Bibb County, Georgia",7000000US13021000HO4,2466.0,85.0,1209.0,1012.0,73.0,73.0,14.0,0.0344687753446877,0.4902676399026764,0.4103811841038118,0.0296025952960259,0.0296025952960259,0.0056772100567721,1
107,"HOWARD 5, Bibb County, Georgia",7000000US13021000HO5,2370.0,99.0,943.0,1136.0,71.0,105.0,16.0,0.0417721518987341,0.3978902953586498,0.4793248945147679,0.0299578059071729,0.0443037974683544,0.0067510548523206,1
108,"HOWARD 6, Bibb County, Georgia",7000000US13021000HO6,2903.0,107.0,1749.0,855.0,75.0,107.0,10.0,0.0368584223217361,0.6024801929038925,0.2945229073372373,0.0258353427488804,0.0368584223217361,0.0034447123665173,1
109,"HOWARD 7, Bibb County, Georgia",7000000US13021000HO7,3239.0,93.0,2312.0,609.0,60.0,134.0,31.0,0.0287125656066687,0.7138005557270762,0.1880209941339919,0.0185242358752701,0.0413707934547699,0.0095708552022229,1
110,"RUTLAND 1, Bibb County, Georgia",7000000US13021000RU1,7940.0,569.0,4438.0,2448.0,245.0,184.0,56.0,0.0716624685138539,0.5589420654911839,0.3083123425692695,0.0308564231738035,0.0231738035264483,0.0070528967254408,1
111,"RUTLAND 2, Bibb County, Georgia",7000000US13021000RU2,4781.0,330.0,2993.0,1253.0,30.0,155.0,20.0,0.06902321690023,0.6260196611587534,0.2620790629575402,0.0062748379000209,0.0324199958167747,0.0041832252666806,1
112,"VINEVILLE 1, Bibb County, Georgia",7000000US13021000VV1,5777.0,545.0,2554.0,2329.0,82.0,227.0,40.0,0.0943396226415094,0.4420979747273671,0.4031504240955513,0.0141942184524839,0.0392937510818764,0.0069240090012117,1
113,"VINEVILLE 2, Bibb County, Georgia",7000000US13021000VV2,2940.0,89.0,973.0,1780.0,12.0,76.0,10.0,0.0302721088435374,0.3309523809523809,0.6054421768707483,0.0040816326530612,0.0258503401360544,0.0034013605442176,1
114,"VINEVILLE 3, Bibb County, Georgia",7000000US13021000VV3,4414.0,89.0,371.0,3789.0,12.0,134.0,19.0,0.020163117353874,0.0840507476212052,0.8584050747621206,0.0027186225645672,0.0303579519710013,0.0043044857272315,1
115,"VINEVILLE 4, Bibb County, Georgia",7000000US13021000VV4,5795.0,124.0,648.0,4792.0,36.0,175.0,20.0,0.0213977566867989,0.1118205349439171,0.8269197584124245,0.0062122519413287,0.0301984469370146,0.0034512510785159,1
