"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N"
"0600000US1314191758","Linton CCD, Hancock County, Georgia","781","3","778","759","203","554","2","0","0","0","19","18","11","5","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1314191944","Mayfield CCD, Hancock County, Georgia","627","5","622","613","181","430","0","2","0","0","9","9","4","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1314192826","Sparta CCD, Hancock County, Georgia","5383","34","5349","5271","912","4315","11","33","0","0","78","66","41","14","2","0","0","6","0","0","3","0","0","0","0","0","0","12","9","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1314390372","Bremen CCD, Haralson County, Georgia","13919","273","13646","13122","12055","867","27","125","9","39","524","510","112","291","30","3","56","6","7","1","3","0","1","0","0","0","0","12","9","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0600000US1314390450","Buchanan CCD, Haralson County, Georgia","7731","128","7603","7358","7139","172","15","16","0","16","245","229","43","114","18","0","40","0","5","0","7","0","1","0","1","0","0","14","7","1","1","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0600000US1314392958","Tallapoosa CCD, Haralson County, Georgia","8269","96","8173","7936","7631","214","14","45","0","32","237","226","61","125","4","0","31","3","1","0","1","0","0","0","0","0","0","6","3","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0600000US1314591398","Hamilton CCD, Harris County, Georgia","10737","520","10217","9741","8283","1262","27","121","6","42","476","437","93","169","88","11","57","1","2","0","14","0","0","1","0","1","0","33","19","3","0","1","8","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0"
"0600000US1314592370","Pine Mountain CCD, Harris County, Georgia","5059","99","4960","4770","3404","1247","10","72","1","36","190","188","65","66","14","3","21","8","0","0","11","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1314592760","Shiloh CCD, Harris County, Georgia","3267","86","3181","3069","2556","477","21","12","0","3","112","105","26","53","6","0","15","0","0","0","1","0","0","0","2","2","0","6","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"0600000US1314593288","Waverly Hall CCD, Harris County, Georgia","15605","712","14893","14163","11682","2184","43","183","14","57","730","704","143","275","140","4","100","16","5","2","13","0","0","0","6","0","0","25","10","2","0","1","9","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1314790348","Bowersville CCD, Hart County, Georgia","3770","175","3595","3453","3197","227","1","14","0","14","142","140","35","73","6","1","20","3","0","0","0","1","0","0","0","0","1","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
