,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density:Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others
42,"Decatur County, Georgia",0500000US13087,29367,1911,14280,12200,183,649,144,0.0650730411686587,0.48626008785371333,0.4154322879422481,0.006231484319133722,0.02209963564545238,0.004903463070793748
43,"DeKalb County, Georgia",0500000US13089,764382,81471,215895,384438,50076,26420,6082,0.10658414248373195,0.28244385660572857,0.502939629661609,0.06551174674442883,0.03456386989751198,0.0079567546069897
44,"Dodge County, Georgia",0500000US13091,19925,620,12865,5847,95,427,71,0.03111668757841907,0.6456712672521957,0.2934504391468005,0.004767879548306148,0.021430363864491844,0.0035633626097867003
45,"Dooly County, Georgia",0500000US13093,11208,797,4611,5540,51,176,33,0.07110992148465382,0.41140256959314775,0.4942897930049964,0.004550321199143469,0.015703069236259814,0.0029443254817987153
46,"Dougherty County, Georgia",0500000US13095,85790,2413,20631,59720,647,1997,382,0.028126821307844736,0.24048257372654155,0.6961184287212961,0.0075416715234875855,0.023277771302016553,0.004452733418813382
47,"Douglas County, Georgia",0500000US13097,144237,16035,49877,68763,2313,5745,1504,0.11117119740427213,0.3457989281529705,0.47673620499594416,0.016036107240167224,0.03983027933193286,0.010427282874713145
48,"Early County, Georgia",0500000US13099,10854,186,4813,5534,47,232,42,0.017136539524599224,0.44343099318223694,0.509858116823291,0.004330200847613783,0.021374608439285056,0.003869541182974019
49,"Echols County, Georgia",0500000US13101,3697,1091,2328,147,8,84,39,0.29510413849066813,0.6296997565593725,0.03976196916418718,0.0021639166892074655,0.022721125236678387,0.010549093859886394
50,"Effingham County, Georgia",0500000US13103,64769,3492,48204,8747,677,3171,478,0.053914681406228286,0.7442449319890688,0.13504917475953002,0.010452531303555713,0.048958606740879124,0.007380073800738007
51,"Elbert County, Georgia",0500000US13105,19637,996,12610,5253,182,514,82,0.05072057849977084,0.6421551153434842,0.2675052197382492,0.00926821815959668,0.026175077659520294,0.004175790599378724
52,"Emanuel County, Georgia",0500000US13107,22768,993,13815,7246,141,498,75,0.04361384399156711,0.6067726633872101,0.3182536893886156,0.006192902319044273,0.021872803935347858,0.0032940969782150387
53,"Evans County, Georgia",0500000US13109,10774,1237,6038,3083,78,291,47,0.11481343976239095,0.5604232411360683,0.28615184703916835,0.007239651011694821,0.027009467235938372,0.004362353814739187
54,"Fannin County, Georgia",0500000US13111,25319,753,23351,85,113,874,143,0.029740511078636598,0.9222718116829258,0.0033571626051581817,0.004463051463327936,0.03451953078715589,0.005647932382795529
55,"Fayette County, Georgia",0500000US13113,119194,9480,68144,29166,6362,4938,1104,0.07953420474184943,0.571706629528332,0.24469352484185444,0.0533751698911019,0.04142825981173549,0.009262211185126767
56,"Floyd County, Georgia",0500000US13115,98584,11466,67747,13940,1287,3558,586,0.11630690578592875,0.687200762801266,0.14140225594416944,0.013054856771889962,0.036091049257486005,0.00594416943925992
57,"Forsyth County, Georgia",0500000US13117,251283,25226,159407,10455,45117,9282,1796,0.10038880465451304,0.6343724008388948,0.04160647556738816,0.1795465670180633,0.036938431967144615,0.007147319953996092
58,"Franklin County, Georgia",0500000US13119,23424,1121,19262,1888,261,776,116,0.047856898907103824,0.8223189890710383,0.08060109289617487,0.011142418032786885,0.03312841530054645,0.004952185792349727
59,"Fulton County, Georgia",0500000US13121,1066710,86302,404793,448803,80632,37797,8383,0.08090483824094646,0.37947802120538854,0.42073572011137045,0.07558942917943959,0.035433248024299015,0.007858743238555933
60,"Gilmer County, Georgia",0500000US13123,31353,3599,26365,127,131,987,144,0.11478965330271425,0.8409083660255797,0.0040506490606959464,0.004178228558670622,0.03148024112525117,0.004592861927088317
61,"Glascock County, Georgia",0500000US13125,2884,52,2573,196,7,54,2,0.018030513176144243,0.8921636615811374,0.06796116504854369,0.0024271844660194173,0.01872399445214979,0.0006934812760055479
62,"Glynn County, Georgia",0500000US13127,84499,6336,52987,20469,1175,2913,619,0.07498313589509935,0.627072509733843,0.24223955313080628,0.013905490005798885,0.034473780754801835,0.007325530479650647
63,"Gordon County, Georgia",0500000US13129,57544,8957,43317,2075,719,2216,260,0.15565480328096762,0.7527631030168219,0.036059363269845685,0.012494786598081469,0.03850966217155568,0.004518281662727652
64,"Grady County, Georgia",0500000US13131,26236,3273,14715,7285,110,672,181,0.12475224881841744,0.5608705595365148,0.2776719012044519,0.004192712303704833,0.025613660618996798,0.0068989175179143165
65,"Greene County, Georgia",0500000US13133,18915,1289,11126,5783,174,455,88,0.06814697330161247,0.5882104150145387,0.30573618821041504,0.009199048374306107,0.024054982817869417,0.004652392281258261
66,"Gwinnett County, Georgia",0500000US13135,957062,220460,310583,257124,126526,33961,8408,0.23035080276930858,0.3245171159235243,0.26865971065615396,0.13220251143604073,0.03548463944864596,0.008785219766326529
67,"Habersham County, Georgia",0500000US13137,46031,6880,34694,1722,990,1518,227,0.14946449132106623,0.7537094566705047,0.03740957181030175,0.02150724511742087,0.032977775846712,0.004931459233994482
68,"Hall County, Georgia",0500000US13139,203136,57010,120418,14256,4198,6120,1134,0.28064941713925645,0.592794974795211,0.07017958412098299,0.020665957781978574,0.030127599243856332,0.005582466918714556
69,"Hancock County, Georgia",0500000US13141,8735,63,2413,6025,37,163,34,0.0072123640526617055,0.27624499141385234,0.6897538637664568,0.004235832856325129,0.01866056096164854,0.0038923869490555237
70,"Haralson County, Georgia",0500000US13143,29919,497,26825,1253,186,1006,152,0.01661151776463117,0.8965874527891975,0.041879741969985625,0.006216785320364985,0.033624118453156854,0.005080383702663859
71,"Harris County, Georgia",0500000US13145,34668,1417,25925,5170,388,1508,260,0.04087342794507903,0.747807776623976,0.14912887965847468,0.011191877235490942,0.04349832698742356,0.007499711549555786
72,"Hart County, Georgia",0500000US13147,25828,931,19250,4324,335,864,124,0.03604615146352796,0.7453151618398637,0.1674152083010686,0.012970419699550874,0.033452067523617776,0.00480099117237107
73,"Heard County, Georgia",0500000US13149,11412,253,9589,930,53,521,66,0.022169645986680687,0.8402558710129688,0.08149316508937961,0.004644234139502278,0.04565369786189975,0.0057833859095688745
74,"Henry County, Georgia",0500000US13151,240712,18437,86297,116431,7976,9375,2196,0.07659360563661138,0.35850726179002296,0.4836942071853501,0.033135032736215896,0.038946957359832494,0.009122935291967164
75,"Houston County, Georgia",0500000US13153,163633,11807,86211,51992,4905,7552,1166,0.07215537208264837,0.5268558298142795,0.3177354201169691,0.029975616165443402,0.046152059792340175,0.007125702028319471
76,"Irwin County, Georgia",0500000US13155,9666,663,6402,2224,119,218,40,0.0685909373060211,0.6623215394165115,0.23008483343678873,0.012311193875439686,0.02255327953651976,0.004138216428719222
77,"Jackson County, Georgia",0500000US13157,75907,6712,59064,5136,1744,2800,451,0.08842399251715916,0.7781100557260858,0.06766174397618138,0.022975483157021092,0.03688724360072194,0.005941481022830569
78,"Jasper County, Georgia",0500000US13159,14588,684,10771,2442,22,572,97,0.04688785302988758,0.7383465862352618,0.1673978612558267,0.001508088840142583,0.03921030984370716,0.006649300795174116
79,"Jeff Davis County, Georgia",0500000US13161,14779,2047,9950,2293,50,373,66,0.1385073414980716,0.6732525881318087,0.155152581365451,0.003383178834833209,0.025238514107855742,0.004465796061979836
80,"Jefferson County, Georgia",0500000US13163,15709,462,6834,7970,70,327,46,0.029409892418358903,0.4350372397988414,0.5073524731045898,0.004456044305811955,0.02081609268572156,0.0029282576866764276
81,"Jenkins County, Georgia",0500000US13165,8674,303,4611,3536,12,148,64,0.034931980631773114,0.5315886557528245,0.40765506110214433,0.001383444777495965,0.0170624855891169,0.007378372146645147
82,"Johnson County, Georgia",0500000US13167,9189,117,5800,3017,28,175,52,0.012732615083251714,0.6311894656654696,0.3283273479159865,0.0030471215583850256,0.019044509739906408,0.005658940037000762
83,"Jones County, Georgia",0500000US13169,28347,476,20074,6739,138,794,126,0.01679190037746499,0.7081525381874625,0.23773238790700957,0.0048682400253995135,0.028010018696863866,0.004444914805799556
84,"Lamar County, Georgia",0500000US13171,18500,475,12344,4888,102,626,65,0.025675675675675677,0.6672432432432432,0.2642162162162162,0.005513513513513513,0.033837837837837836,0.0035135135135135136
85,"Lanier County, Georgia",0500000US13173,9877,572,6595,2138,81,413,78,0.05791232155512808,0.6677128682798421,0.2164624886099018,0.008200870709729675,0.041814316087880936,0.007897134757517466
86,"Laurens County, Georgia",0500000US13175,49570,1424,27881,18219,507,1304,235,0.0287270526528142,0.5624571313294331,0.3675408513213637,0.010227960459955618,0.026306233609037725,0.0047407706273956025
87,"Lee County, Georgia",0500000US13177,33163,953,22758,7331,850,1107,164,0.02873684527937762,0.6862467207429968,0.2210596146307632,0.025630974278563458,0.03338057473690559,0.00494527033139342
88,"Liberty County, Georgia",0500000US13179,65256,7786,24004,27309,1325,3848,984,0.11931469903150668,0.3678435699399289,0.4184902537697683,0.020304646316047566,0.058967757754076255,0.015079073188672305
89,"Lincoln County, Georgia",0500000US13181,7690,92,5196,2116,20,235,31,0.011963589076723017,0.6756827048114434,0.27516254876462937,0.002600780234070221,0.0305591677503251,0.004031209362808843
90,"Long County, Georgia",0500000US13183,16168,1979,8774,4028,164,982,241,0.12240227610094014,0.5426768926274121,0.2491340920336467,0.010143493320138546,0.0607372587827808,0.014905987135081643
91,"Lowndes County, Georgia",0500000US13185,118251,7872,59306,43946,1908,4357,862,0.06657026156227008,0.5015264141529459,0.37163322086071154,0.016135170104269732,0.03684535437332454,0.007289578946478254
92,"Lumpkin County, Georgia",0500000US13187,33488,1790,29241,412,257,1498,290,0.05345198279980889,0.8731784519827999,0.01230291447682752,0.00767439082656474,0.044732441471571904,0.008659818442427138
93,"McDuffie County, Georgia",0500000US13189,21632,790,11417,8644,76,610,95,0.036519970414201186,0.5277829142011834,0.3995931952662722,0.0035133136094674558,0.02819896449704142,0.004391642011834319
94,"McIntosh County, Georgia",0500000US13191,10975,231,7060,3176,43,398,67,0.021047835990888383,0.6432801822323463,0.2893849658314351,0.003917995444191344,0.03626423690205011,0.006104783599088838
95,"Macon County, Georgia",0500000US13193,12082,472,4078,7150,156,184,42,0.0390663797384539,0.337526899519947,0.59178943883463,0.012911769574573746,0.015229266677702366,0.0034762456546929316
96,"Madison County, Georgia",0500000US13195,30120,1956,23549,2753,521,1187,154,0.0649402390438247,0.7818393094289509,0.09140106241699868,0.017297476759628155,0.03940903054448871,0.005112881806108898
97,"Marion County, Georgia",0500000US13197,7498,560,4486,2122,55,237,38,0.07468658308882369,0.5982928781008269,0.2830088023472926,0.007335289410509469,0.031608428914377165,0.005068018138170179
98,"Meriwether County, Georgia",0500000US13199,20613,475,12084,7273,78,583,120,0.02304371027992044,0.586231989521176,0.35283558919128705,0.0037840197933343036,0.028283122301460243,0.0058215689128220055
99,"Miller County, Georgia",0500000US13201,6000,136,3949,1748,26,126,15,0.02266666666666667,0.6581666666666667,0.29133333333333333,0.004333333333333333,0.021,0.0025
100,"Mitchell County, Georgia",0500000US13205,21755,964,10106,10054,108,445,78,0.04431165249367961,0.4645368880717077,0.46214663295794073,0.0049643760055159735,0.02045506780050563,0.003585382670650425
101,"Monroe County, Georgia",0500000US13207,27957,714,19954,6084,239,846,120,0.025539220946453483,0.7137389562542475,0.2176199163000322,0.008548842865829668,0.03026075759201631,0.004292306041420753
102,"Montgomery County, Georgia",0500000US13209,8610,571,5665,2120,34,196,24,0.06631823461091754,0.6579558652729385,0.2462253193960511,0.003948896631823461,0.022764227642276424,0.0027874564459930314
103,"Morgan County, Georgia",0500000US13211,20097,712,14487,4105,122,560,111,0.035428173359207844,0.7208538587848933,0.20425934219037667,0.006070557794695726,0.027864855451062348,0.005523212419764144
104,"Murray County, Georgia",0500000US13213,39973,5914,32164,263,127,1366,139,0.14794986615965777,0.804643134115528,0.006579441122757861,0.003177144572586496,0.03417306682010357,0.0034773472093663224
105,"Muscogee County, Georgia",0500000US13215,206922,16513,79083,94701,5546,8998,2081,0.07980301756217319,0.38218749093861454,0.4576652071795169,0.026802369975159723,0.043484984680217664,0.010056929664317956
106,"Newton County, Georgia",0500000US13217,112483,7164,46746,52246,1044,4260,1023,0.0636896242098806,0.4155827991785425,0.46447907683827777,0.009281402523047927,0.037872389605540395,0.009094707644710756
107,"Oconee County, Georgia",0500000US13219,41799,2347,33886,1897,2066,1401,202,0.0561496686523601,0.8106892509390177,0.04538386085791526,0.04942701978516233,0.033517548266704944,0.004832651498839685
108,"Oglethorpe County, Georgia",0500000US13221,14825,869,10903,2248,134,573,98,0.058617200674536254,0.7354468802698145,0.15163575042158517,0.009038785834738617,0.038650927487352445,0.006610455311973019
109,"Paulding County, Georgia",0500000US13223,168661,12564,108444,36609,1926,7542,1576,0.07449262129360078,0.6429702183670203,0.21705669953338352,0.011419355986268313,0.044716917366789004,0.009344187452938142
110,"Peach County, Georgia",0500000US13225,27981,2547,12119,12139,194,815,167,0.09102605339337408,0.4331153282584611,0.4338300989957471,0.0069332761516743505,0.029126907544405133,0.005968335656338229
111,"Pickens County, Georgia",0500000US13227,33216,1198,30122,286,191,1260,159,0.03606695568400771,0.9068521194605009,0.008610308285163777,0.005750240847784201,0.03793352601156069,0.004786849710982659
112,"Pierce County, Georgia",0500000US13229,19716,998,16403,1597,82,550,86,0.05061878677216474,0.8319638871982147,0.08100020288090891,0.004159058632582674,0.027896124974639887,0.004361939541489146
113,"Pike County, Georgia",0500000US13231,18889,348,16313,1445,77,616,90,0.01842342103869977,0.8636243316215787,0.07649955000264705,0.004076446609137594,0.03261157287310075,0.004764677854836148
114,"Polk County, Georgia",0500000US13233,42853,5585,30161,5119,239,1471,278,0.13032926516229904,0.7038247030546286,0.11945488063846171,0.005577205796560334,0.03432665157631904,0.006487293771731267
115,"Pulaski County, Georgia",0500000US13235,9855,327,6022,3161,92,194,59,0.033181126331811264,0.6110603754439371,0.32075088787417555,0.009335362760020295,0.019685438863521056,0.005986808726534754
116,"Putnam County, Georgia",0500000US13237,22047,1557,14316,5385,108,607,74,0.07062185331337598,0.6493400462647979,0.24425091849231187,0.004898625663355558,0.027532090533859483,0.003356465732299179
117,"Quitman County, Georgia",0500000US13239,2235,31,1190,917,12,63,22,0.013870246085011185,0.5324384787472036,0.4102908277404922,0.005369127516778523,0.028187919463087248,0.009843400447427294
118,"Rabun County, Georgia",0500000US13241,16883,1452,14625,107,60,575,64,0.08600367233311615,0.8662559971569034,0.00633773618432743,0.003553870757566783,0.03405792809334834,0.003790795474737902
119,"Randolph County, Georgia",0500000US13243,6425,143,2250,3862,21,114,35,0.0222568093385214,0.35019455252918286,0.6010894941634242,0.0032684824902723736,0.0177431906614786,0.005447470817120622
120,"Richmond County, Georgia",0500000US13245,206607,11449,68397,112947,3907,8100,1807,0.05541438576621315,0.3310488027995179,0.5466755724636629,0.0189102982957983,0.03920486721166272,0.008746073463145005
121,"Rockdale County, Georgia",0500000US13247,93570,9540,24500,53785,1532,3356,857,0.10195575504969541,0.26183605856577963,0.5748103024473656,0.01637276904990916,0.035866196430479856,0.009158918456770332
122,"Schley County, Georgia",0500000US13249,4547,175,3357,863,20,119,13,0.03848691444908731,0.7382889817462063,0.18979546954035628,0.004398504508467121,0.02617110182537937,0.0028590279305036287
123,"Screven County, Georgia",0500000US13251,14067,287,8018,5285,61,343,73,0.020402360133646123,0.5699864932110613,0.37570199758299566,0.004336390132935238,0.02438330845240634,0.005189450486955285
124,"Seminole County, Georgia",0500000US13253,9147,228,5617,2961,61,249,31,0.02492620531321745,0.6140811194927298,0.3237126926861266,0.006668853175904668,0.027222040013119054,0.0033890893189023725
125,"Spalding County, Georgia",0500000US13255,67306,3666,37105,23148,640,2323,424,0.05446765518675898,0.5512881466734021,0.343921790033578,0.00950881050723561,0.034514010637981755,0.006299586961043592
126,"Stephens County, Georgia",0500000US13257,26784,857,21323,2936,225,1285,158,0.03199671445639188,0.7961096176821983,0.10961768219832736,0.008400537634408602,0.04797640382317802,0.005899044205495818
127,"Stewart County, Georgia",0500000US13259,5314,1217,1338,2461,167,108,23,0.22901768912307113,0.2517877305231464,0.4631162965750847,0.0314264207753105,0.020323673315769664,0.0043281896876176135
128,"Sumter County, Georgia",0500000US13261,29616,1770,11528,15051,503,665,99,0.05976499189627228,0.38924905456509995,0.5082050243111832,0.01698406266882766,0.02245407887628309,0.0033427876823338737
129,"Talbot County, Georgia",0500000US13263,5733,112,2427,3056,17,109,12,0.019536019536019536,0.42333856619570903,0.5330542473399617,0.0029652886795743937,0.019012733298447583,0.0020931449502878076
130,"Taliaferro County, Georgia",0500000US13265,1559,69,591,833,6,54,6,0.04425914047466325,0.3790891597177678,0.5343168697883258,0.003848620910840282,0.03463758819756254,0.003848620910840282
131,"Tattnall County, Georgia",0500000US13267,22842,2303,13825,5961,127,538,88,0.10082304526748971,0.6052447246300674,0.26096664039926454,0.0055599334559145435,0.023553103931354524,0.00385255231590929
132,"Taylor County, Georgia",0500000US13269,7816,168,4584,2807,29,180,48,0.021494370522006142,0.586489252814739,0.3591351074718526,0.0037103377686796314,0.02302968270214944,0.006141248720573183
133,"Telfair County, Georgia",0500000US13271,12477,1928,5970,4326,30,178,45,0.1545243247575539,0.4784804039432556,0.3467179610483289,0.0024044241404183697,0.014266249899815661,0.0036066362106275548
134,"Terrell County, Georgia",0500000US13273,9185,177,3189,5540,57,199,23,0.019270549809471967,0.3471965160587915,0.603157321720196,0.006205770277626565,0.021665759390310287,0.0025040827436037015
135,"Thomas County, Georgia",0500000US13275,45798,1577,25994,16259,406,1279,283,0.03443381807065811,0.5675793702781781,0.3550155028603869,0.00886501593956068,0.027926983711079087,0.006179309140137124
136,"Tift County, Georgia",0500000US13277,41344,5219,22189,12049,650,1088,149,0.12623355263157895,0.5366921439628483,0.2914328560371517,0.015721749226006193,0.02631578947368421,0.00360390866873065
137,"Toombs County, Georgia",0500000US13279,27030,3044,16007,6980,207,676,116,0.11261561228264891,0.5921938586755456,0.2582315945246023,0.007658157602663707,0.025009248982611913,0.004291527931927488
138,"Towns County, Georgia",0500000US13281,12493,415,11469,124,81,338,66,0.03321860241735372,0.9180340990954935,0.009925558312655087,0.006483630833266629,0.027055150884495317,0.005282958456735772
139,"Treutlen County, Georgia",0500000US13283,6406,170,4065,1999,7,139,26,0.02653762098033094,0.6345613487355604,0.31205120199812675,0.0010927255697783327,0.02169840774274118,0.004058694973462379
140,"Troup County, Georgia",0500000US13285,69426,2956,38099,24157,1608,2204,402,0.04257770863941463,0.5487713536715352,0.347953216374269,0.02316135165499957,0.031746031746031744,0.005790337913749892
141,"Turner County, Georgia",0500000US13287,9006,372,4700,3644,49,209,32,0.041305796135909394,0.52187430601821,0.4046191427936931,0.005440817232955807,0.023206751054852322,0.0035531867643793028
142,"Twiggs County, Georgia",0500000US13289,8022,124,4487,3099,37,241,34,0.015457491897282473,0.5593368237347295,0.3863126402393418,0.004612316130640738,0.030042383445524807,0.004238344552480678
143,"Union County, Georgia",0500000US13291,24632,816,22646,126,100,807,137,0.03312763884378045,0.919373173108152,0.0051152971744072755,0.004059759662227996,0.032762260474179926,0.005561870737252355
144,"Upson County, Georgia",0500000US13293,27700,633,18009,7851,151,886,170,0.022851985559566787,0.6501444043321299,0.28342960288808666,0.005451263537906137,0.031985559566787,0.006137184115523465
145,"Walker County, Georgia",0500000US13295,67654,1685,59654,2840,293,2804,378,0.02490614006562805,0.8817512637833683,0.041978301356904245,0.004330859963934135,0.04144618204392941,0.005587252786235847
146,"Walton County, Georgia",0500000US13297,96673,5228,68499,17136,1409,3617,784,0.054079215499674156,0.7085639216740972,0.1772573521045173,0.014574907161254952,0.037414790065478466,0.008109813494977915
147,"Ware County, Georgia",0500000US13299,36251,1612,22275,10703,333,1121,207,0.04446773882099804,0.6144658078397838,0.29524702766820227,0.009185953490938181,0.030923284874900002,0.005710187305177788
